Timestamp; MiddleBoard Address; Uart Port on MB; Log
13/06/2019 13:50:34; 0x08; 1; STATUS      : OK
13/06/2019 13:50:34; 0x08; 1; ###### ===== UPLINK FRAME 4 ==== ######
13/06/2019 13:50:34; 0x08; 1; CLASS       : A
13/06/2019 13:50:34; 0x08; 1; TX PORT     : 3
13/06/2019 13:50:34; 0x08; 1; TX DATA     : CONFIRMED - ACK, 1
13/06/2019 13:50:34; 0x08; 1; PAYLOAD     : 8B 
13/06/2019 13:50:34; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:50:34; 0x08; 1; U/L FREQ    : 868500000
13/06/2019 13:50:34; 0x08; 1; TX POWER    : 7
13/06/2019 13:50:34; 0x08; 1; CHANNEL MASK: 00FF 
13/06/2019 13:50:34; 0x08; 1; ###### ===== MCPS-Indication ==== ######
13/06/2019 13:50:34; 0x08; 1; STATUS      : OK
13/06/2019 13:50:56; 0x08; 1; ###### ===== MCPS-Request ==== ######
13/06/2019 13:50:56; 0x08; 1; STATUS      : OK
13/06/2019 13:50:57; 0x08; 1; ###### ===== MCPS-Confirm ==== ######
13/06/2019 13:50:57; 0x08; 1; STATUS      : OK
13/06/2019 13:50:57; 0x08; 1; ###### ===== UPLINK FRAME 5 ==== ######
13/06/2019 13:50:57; 0x08; 1; TX PORT     : 1
13/06/2019 13:50:57; 0x08; 1; TX DATA     : CONFIRMED - ACK, 1
13/06/2019 13:50:57; 0x08; 1; PAYLOAD     : 80 03 
13/06/2019 13:50:57; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:50:57; 0x08; 1; U/L FREQ    : 867500000
13/06/2019 13:50:57; 0x08; 1; TX POWER    : 7
13/06/2019 13:50:57; 0x08; 1; CHANNEL MASK: 00FF 
13/06/2019 13:50:57; 0x08; 1; ###### ===== MCPS-Indication ==== ######
13/06/2019 13:50:57; 0x08; 1; STATUS      : OK
13/06/2019 13:50:57; 0x08; 1; ###### ===== DOWNLINK FRAME 4 ==== ######
13/06/2019 13:50:57; 0x08; 1; RX WINDOW   : 1
13/06/2019 13:50:57; 0x08; 1; RX PORT     : 0
13/06/2019 13:50:57; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:50:57; 0x08; 1; RX RSSI     : -40
13/06/2019 13:51:01; 0x08; 1; RX SNR      : 7
13/06/2019 13:51:19; 0x08; 1; ###### ===== Close ==== ######
13/06/2019 13:51:19; 0x08; 1; ###### ===== MCPS-Request ==== ######
13/06/2019 13:51:19; 0x08; 1; STATUS      : OK
13/06/2019 13:51:20; 0x08; 1; ###### ===== MCPS-Confirm ==== ######
13/06/2019 13:51:20; 0x08; 1; STATUS      : OK
13/06/2019 13:51:20; 0x08; 1; ###### ===== UPLINK FRAME 6 ==== ######
13/06/2019 13:51:20; 0x08; 1; CLASS       : A
13/06/2019 13:51:20; 0x08; 1; TX PORT     : 3
13/06/2019 13:51:20; 0x08; 1; TX DATA     : CONFIRMED - ACK, 1
13/06/2019 13:51:20; 0x08; 1; PAYLOAD     : 0B 
13/06/2019 13:51:20; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:51:20; 0x08; 1; U/L FREQ    : 867100000
13/06/2019 13:51:20; 0x08; 1; TX POWER    : 7
13/06/2019 13:51:20; 0x08; 1; CHANNEL MASK: 00FF 
13/06/2019 13:51:20; 0x08; 1; ###### ===== MCPS-Indication ==== ######
13/06/2019 13:51:20; 0x08; 1; STATUS      : OK
13/06/2019 13:51:20; 0x08; 1; ###### ===== DOWNLINK FRAME 5 ==== ######
13/06/2019 13:51:20; 0x08; 1; RX WINDOW   : 1
13/06/2019 13:51:20; 0x08; 1; RX PORT     : 0
13/06/2019 13:53:15; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:53:15; 0x08; 1; RX RSSI     : -40
13/06/2019 13:53:15; 0x08; 1; RX SNR      : 7
13/06/2019 13:53:16; 0x08; 1; ###### ===== Open ==== ######
13/06/2019 13:53:16; 0x08; 1; ###### ===== MCPS-Request ==== ######
13/06/2019 13:53:16; 0x08; 1; STATUS      : OK
13/06/2019 13:53:16; 0x08; 1; ###### ===== MCPS-Confirm ==== ######
13/06/2019 13:53:16; 0x08; 1; STATUS      : OK
13/06/2019 13:53:16; 0x08; 1; ###### ===== UPLINK FRAME 7 ==== ######
13/06/2019 13:53:16; 0x08; 1; CLASS       : A
13/06/2019 13:53:16; 0x08; 1; TX PORT     : 3
13/06/2019 13:53:16; 0x08; 1; TX DATA     : CONFIRMED - ACK, 1
13/06/2019 13:53:16; 0x08; 1; PAYLOAD     : 8C 
13/06/2019 13:53:16; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:53:16; 0x08; 1; U/L FREQ    : 867700000
13/06/2019 13:53:16; 0x08; 1; TX POWER    : 7
13/06/2019 13:53:16; 0x08; 1; CHANNEL MASK: 00FF 
13/06/2019 13:53:16; 0x08; 1; ###### ===== MCPS-Indication ==== ######
13/06/2019 13:53:16; 0x08; 1; STATUS      : OK
13/06/2019 13:53:19; 0x08; 1; ###### ===== MCPS-Request ==== ######
13/06/2019 13:53:19; 0x08; 1; STATUS      : OK
13/06/2019 13:53:20; 0x08; 1; ###### ===== MCPS-Confirm ==== ######
13/06/2019 13:53:20; 0x08; 1; STATUS     : OK
13/06/2019 13:53:20; 0x08; 1; ###### ===== UPLINK FRAME 11 ==== ######
13/06/2019 13:53:20; 0x08; 1; CLASS       : 
13/06/2019 13:53:20; 0x08; 1; TX PORT     : 1
13/06/2019 13:53:20; 0x08; 1; TX DATA     : CONFIRMED - ACK, 1
13/06/2019 13:53:20; 0x08; 1; PAYLOAD     : 80 03 
13/06/2019 13:53:20; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:53:20; 0x08; 1; U/L FREQ    : 86800000
13/06/2019 13:53:20; 0x08; 1; TX POWER    : 7
13/06/2019 13:53:20; 0x08; 1; CHANNEL MASK: 00FF 
13/06/2019 13:53:20; 0x08; 1; ###### ===== MCPS-Indication ==== ######
13/06/2019 13:53:20; 0x08; 1; STATUS      : OK
13/06/2019 13:53:20; 0x08; 1; ###### ===== DOWNLINK FRAME 10 ==== ######
13/06/2019 13:53:20; 0x08; 1; RX WINDOW   : 1
13/06/2019 13:53:20; 0x08; 1; RX PORT     : 0
13/06/2019 13:53:20; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:53:20; 0x08; 1; RX RSSI     : -40
13/06/2019 13:53:24; 0x08; 1; RX SNR      : 7
13/06/2019 13:53:39; 0x08; 1; ###### ===== MCPS-Rquest ==== ######
13/06/2019 13:53:39; 0x08; 1; STATUS      : OK
13/06/2019 13:53:41; 0x08; 1; ###### ===== MCPS-Confirm ==== ######
13/06/2019 13:53:41; 0x08; 1; STATUS      : OK
13/06/2019 13:53:41; 0x08; 1; ###### ===== UPLINK FRAME 12 ==== ######
13/06/2019 13:53:41; 0x08; 1; CLASS       : A
13/06/2019 13:53:41; 0x08; 1; TX PORT     : 1
13/06/2019 13:53:41; 0x08; 1; TX DATA     : CONFIRMED - ACK, 1
13/06/2019 13:53:41; 0x08; 1; PAYLOAD     : 80 04 
13/06/2019 13:53:41; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:53:41; 0x08; 1; U/L FREQ    : 868500000
13/06/2019 13:53:41; 0x08; 1; TX POWER    : 7
13/06/2019 13:53:41; 0x08; 1; CHANNEL MASK: 00FF 
13/06/2019 13:53:41; 0x08; 1; ###### ===== MCPS-Indication ==== ######
13/06/2019 13:53:41; 0x08; 1; STATUS      : OK
13/06/2019 13:53:41; 0x08; 1; ###### ===== DOWNLINK FRAME 11 ==== ######
13/06/2019 13:53:41; 0x08; 1; RX WINDOW   : 1
13/06/2019 13:53:41; 0x08; 1; RX PORT     : 0
13/06/2019 13:53:41; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:56:37; 0x08; 1; RX RSSI   RX RSSI     : -42
13/06/2019 13:56:37; 0x08; 1; RX SNR      : 6
13/06/2019 13:56:38; 0x08; 1; ###### ===== MCPS-Request ==== ######
13/06/2019 13:56:39; 0x08; 1; STATUS      : OK
13/06/2019 13:56:39; 0x08; 1; ###### ===== MCPS-Confirm ==== ######
13/06/2019 13:56:39; 0x08; 1; STATUS      : OK
13/06/2019 13:56:39; 0x08; 1; ###### ===== UPLINK FRAME 13 ==== ######
13/06/2019 13:56:39; 0x08; 1; CLASS       : A
13/06/2019 13:56:39; 0x08; 1; TX PORT     : 1
13/06/2019 13:56:39; 0x08; 1; TX DATA     : CONFIRMED - ACK, 1
13/06/2019 13:56:39; 0x08; 1; PAYLOAD     : 80 04 
13/06/2019 13:56:39; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:56:39; 0x08; 1; U/L FREQ    : 867500000
13/06/2019 13:56:39; 0x08; 1; TX POWER    : 7
13/06/2019 13:56:39; 0x08; 1; CHANNEL MASK: 00FF 
13/06/2019 13:56:39; 0x08; 1; ###### ===== MCPS-Indication ==== ######
13/06/2019 13:56:39; 0x08; 1; STATUS      : OK
13/06/2019 13:56:39; 0x08; 1; ###### ===== DOWNLINK FRAME 12 ==== ######
13/06/2019 13:56:39; 0x08; 1; RX WINDOW   : 1
13/06/2019 13:56:39; 0x08; 1; RX PO
13/06/2019 13:56:39; 0x08; 1; ###### ===== Close ==== ######
13/06/2019 13:56:39; 0x08; 1; ###### ===== MCPS-Request ==== ######
13/06/2019 13:56:45; 0x08; 1; STATCPS-Confirm ==== ######
13/06/2019 13:56:45; 0x08; 1; STATUS      : OK
13/06/2019 13:56:45; 0x08; 1; ###### ===== UPLINK FRAME 19 ==== ######
13/06/2019 13:56:45; 0x08; 1; CLASS       : A
